Province or territory	Province ou territoire 	Group 1 - Groupe 1	Group 2 - Groupe 2	Total valid votes - Total des votes valides
Newfoundland	Terre-Neuve	1378	2840	4218
Prince Edward Island	Île-du-Prince-Édouard	325	1780	2105
Nova Scotia	Nouvelle-Écosse	2464	6184	8648
New Brunswick	Nouveau-Brunswick	1337	6275	7612
Quebec	Québec	6612	48283	54895
Ontario	Ontario	10725	49688	60413
Manitoba	Manitoba	1222	6275	7497
Saskatchewan	Saskatchewan	1047	5279	6326
Alberta	Alberta	2636	13449	16085
British Columbia	Colombie-Britannique	3228	19599	22827
Yukon Territory	Territoire du Yukon	29	586	615
Northwest Territories	Territoires du Nord-Ouest	94	438	532
Nunavut	Nunavut	19	41	60
