Province,Valid Votes_SVR Group 1/Votes valides_RES Groupe 1,Valid Votes_SVR Group 2/Votes valides_RES Groupe 2,Total Valid Votes/Total des votes valides
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",1102,2743,3845
"Prince Edward Island/Île-du-Prince-Édouard",305,1922,2227
"Nova Scotia/Nouvelle-Écosse",2912,7570,10482
"New Brunswick/Nouveau-Brunswick",1691,7273,8964
"Quebec/Québec",10376,55018,65394
"Ontario",14905,71869,86774
"Manitoba",1720,8607,10327
"Saskatchewan",1633,6284,7917
"Alberta",3523,16630,20153
"British Columbia/Colombie-Britannique",4509,29966,34475
"Yukon",31,1548,1579
"Northwest Territories/Territoires du Nord-Ouest",171,601,772
"Nunavut",79,81,160

