Province,Valid Votes_SVR Group 1/Votes valides_RES Groupe 1,Valid Votes_SVR Group 2/Votes valides_RES Groupe 2,Total Valid Votes/Total des votes valides
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",1983,16501,18484
"Prince Edward Island/Île-du-Prince-Édouard",669,3366,4035
"Nova Scotia/Nouvelle-Écosse",5962,19849,25811
"New Brunswick/Nouveau-Brunswick",4087,20057,24144
"Quebec/Québec",27891,138766,166657
"Ontario",69327,333860,403187
"Manitoba",6233,27033,33266
"Saskatchewan",5462,27492,32954
"Alberta",26611,78975,105586
"British Columbia/Colombie-Britannique",27251,188989,216240
"Yukon",324,1799,2123
"Northwest Territories/Territoires du Nord-Ouest",472,798,1270
"Nunavut",211,391,602
