NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
Green Party/Parti Vert,Green
Liberal/Libéral,Liberal
Bloc Québécois/Bloc Québécois,Bloc
People's Party - PPC/Parti populaire - PPC,PeoplesP2019
Conservative/Conservateur,Conservative
Independent/Indépendant(e),Independent
No Affiliation/Aucune appartenance,Independent
Christian Heritage Party/Parti de l'Héritage Chrétien,ChristianHP2004
Communist/Communiste,Communist2000
Parti Rhinocéros Party/Parti Rhinocéros Party,Rhinoceros2007
Marxist-Leninist/Marxiste-Léniniste,MarxistLeninist1993
Free Party Canada/Parti Libre Canada,Free2020
Libertarian/Libertarien,Libertarian2004
Marijuana Party/Parti Marijuana,Marijuana2000
Pour l'Indépendance du Québec/Pour l'Indépendance du Québec,IndependanceQuebec2019
VCP/CAC,VeteransC2019
Animal Protection Party/Parti Protection Animaux,AnimalPP2005
Parti Patriote/Parti Patriote,Patriote2021
Centrist/Centriste,Centrist2021
Maverick Party/Maverick Party,Maverick2021
National Citizens Alliance/Alliance Nationale Citoyens,NCitizensA2019
Nationalist/Nationaliste,CNationalist2019
CFF - Canada's Fourth Front/QFC - Quatrième front du Canada,FourthFront202